line_no,stem,stem_type,root_guess,variant_no,weak_only,attestation_texts,language_period,present_class,root,book,hymn,stanza,pada_id,pada_label,word,word_position_no,word_position,word_gloss,text_padapatha,text_samhitapatha,meter_scansion,stanza_meter,stanza_strata,stanza_late_addition,hymn_absolute_no,hymn_addressee,hymn_group,meter_scansion_custom,meter_has_restorations,meter_caesura_position,meter_syllables_count,meter_syllables,meter_notes,meter_scansions_match,meter_is_correct,meter_faults,meter_fault_positions,text_samhitapatha_normalized,meter_stem_found,meter_stem_positions,meter_stem_fault_positions,meter_stem_vowel_position,meter_stem_root_vowel_position,meter_stem_fault_position_labels,meter_stem_vowel_position_scansion_expected,meter_stem_root_vowel_position_scansion_expected
02.020.04.a,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,2,2.02,02.020.04,a,M,gr̥ṇīṣe,6,,1.SG.PRS.IND.MED,tám u+_ stuṣe-_= índram tám} gr̥ṇīṣe-_,tám u stuṣa índaraṁ+ táṁ gr̥ṇīṣe,S L SS LSL L SLL,Triṣṭubh,A,,211,Indra,Hymns to Indra,"S_LSS ,LSL |L SLL",True,4,11,"['tá', 'm u s', 'tu', 'ṣa', 'ín', 'da', 'raṁ', 'táṁ', 'gr̥', 'ṇī', 'ṣe']",,True,1,,[],tám u stuṣa índaraṁ táṁ gr̥ṇīṣe,gr̥ṇī,"[9, 10]",[],10,9,,L,S
02.033.08.d,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,2,2.033,02.033.08,d,M,gr̥ṇīmási,1,intermediate,1.PL.PRS.IND.ACT,gr̥ṇīmási= tveṣám rudrásya nā́ma,gr̥ṇīmási tveṣáṁ rudrásya nā́ma,SLSL LL LLS LS,Triṣṭubh,N,,224,Rudra,Hymns to Various Gods,SLS_LLL L|LS LS,False,0,11,"['gr̥', 'ṇī', 'má', 'si t', 've', 'ṣáṁ', 'rud', 'rás', 'ya', 'nā́', 'ma']",,True,0,caesura_position=0,[],gr̥ṇīmási tveṣáṁ rudrásya nā́ma,gr̥ṇī,"[1, 2]",[],2,1,,X,X
02.033.12.c,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,2,2.033,02.033.12,c,M,gr̥ṇīṣe,4,,1.SG.PRS.IND.MED,bhū́reḥ dātā́ram= sátpatim} gr̥ṇīṣe-_,bhū́rer dātā́raṁ sátpatiṁ gr̥ṇīṣe,LL LLL LSL SLL,Triṣṭubh,N,,224,Rudra,Hymns to Various Gods,"LL LLL ,LS|L SLL",False,5,11,"['bhū́', 'rer', 'dā', 'tā́', 'raṁ', 'sát', 'pa', 'tiṁ', 'gr̥', 'ṇī', 'ṣe']",,True,1,,[],bhū́rer dātā́raṁ sátpatiṁ gr̥ṇīṣe,gr̥ṇī,"[9, 10]",[],10,9,,L,S
02.034.14.b,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,2,2.034,02.034.14,b,M,gr̥ṇīmasi,6,,1.PL.PRS.IND.ACT,úpa gha ít enā́= námasā} gr̥ṇīmasi,úpa ghéd enā́ námasā gr̥ṇīmasi,SS L LL SSL SLSS,,N,,225,The Maruts,Hymns to Various Gods,SS L_LL SSL SLSS,False,-1,12,"['ú', 'pa', 'ghé', 'd e', 'nā́', 'ná', 'ma', 'sā', 'gr̥', 'ṇī', 'ma', 'si']",,True,-1,,[],úpa ghéd enā́ námasā gr̥ṇīmasi,gr̥ṇī,"[9, 10]",[],10,9,,,
03.006.10.b,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,3,3.006,03.006.10,b,M,gr̥ṇītáḥ,4,,3.DU.PRS.IND.ACT,yajñáṁ-yajñam= abhí vr̥dhé-_} gr̥ṇītáḥ,yajñáṁ-yajñam abhí vr̥dhé gr̥ṇītáḥ,LLLS SS SL SLL,,N,,240,Agni,Hymns to Agni,LLLS_SS SL SLL,True,-1,11,"['yaj', 'ñáṁ', 'yaj', 'ña', 'm a', 'bhí', 'vr̥', 'dhé', 'gr̥', 'ṇī', 'táḥ']",,True,-1,,[],yajñáṁyajñam abhí vr̥dhé gr̥ṇītáḥ,gr̥ṇī,"[9, 10]",[],10,9,,,
03.053.03.a,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,3,3.053,03.053.03,a,M,gr̥ṇīhi,5,,2.SG.PRS.IMP.ACT,śáṁsāva adhvaryo= práti me-_} gr̥ṇīhi,śáṁsāvādhvaryo práti me gr̥ṇīhi,LLLLL SS L SLS,Triṣṭubh,C,"['Oldenberg (O)', 'Wuest (W)', 'Witzel (Z)']",287,Indra,Hymns to Indra,"LLLL,_LSS |L SLS",False,4,11,"['śáṁ', 'sā', 'vādh', 'var', 'yo p', 'rá', 'ti', 'me', 'gr̥', 'ṇī', 'hi']",caesura_position_inside_syllable=True,True,1,,[],śáṁsāvādhvaryo práti me gr̥ṇīhi,gr̥ṇī,"[9, 10]",[],10,9,,L,S
04.025.07.b,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,4,4.025,04.025.07,b,M,gr̥ṇīte,4,,3.SG.PRS.IND.MED,ásunvatā= sutapā́ḥ sám} gr̥ṇīte?_,ásunvatā sutapā́ḥ sáṁ gr̥ṇīte,SLSL SSL L SLL,Triṣṭubh,N,,321,Indra,Hymns to Indra,"SLSL ,SSL |L SLL",False,4,11,"['á', 'sun', 'va', 'tā', 'su', 'ta', 'pā́ḥ', 'sáṁ', 'gr̥', 'ṇī', 'te']",,True,1,,[],ásunvatā sutapā́ḥ sáṁ gr̥ṇīte,gr̥ṇī,"[9, 10]",[],10,9,,L,S
05.034.09.a,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,5,5.034,05.034.09,a,M,gr̥ṇīṣe,3,,1.SG.PRS.IND.MED,sahasrasā́m= ā́gniveśim} gr̥ṇīṣe-_,sahasrasā́m ā́gniveśiṁ gr̥ṇīṣe,SLSL LSLL SLL,Triṣṭubh,N,['Grassmann (G)'],388,Indra,Hymns to Indra,"SLSL,_LSL|L SLL",False,4,11,"['sa', 'has', 'ra', 'sā́', 'm ā́g', 'ni', 've', 'śiṁ', 'gr̥', 'ṇī', 'ṣe']",caesura_position_inside_syllable=True,True,1,,[],sahasrasā́m ā́gniveśiṁ gr̥ṇīṣe,gr̥ṇī,"[9, 10]",[],10,9,,L,S
05.041.10.c,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,5,5.041,05.041.10,c,M,gr̥ṇīté,1,intermediate,3.SG.PRS.IND.MED,gr̥ṇīté?_ agníḥ= etárī?_+} ná+_ śūṣaíḥ,gr̥ṇīté agnír etárī ná śūṣaíḥ,SLL LS LSL S LL,Triṣṭubh,A,,395,All the Gods,Hymns to the All-Gods,"SLL LS,_LS|L S LL",False,5,11,"['gr̥', 'ṇī', 'té', 'ag', 'ní', 'r e', 'tá', 'rī', 'ná', 'śū', 'ṣaíḥ']",caesura_position_inside_syllable=True,True,1,,[],gr̥ṇīté agnír etárī ná śūṣaíḥ,gr̥ṇī,"[1, 2]",[],2,1,,X,X
05.053.16.d,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,5,5.053,05.053.16,d,M,gr̥ṇīhi,2,verse final,2.SG.PRS.IMP.ACT,girā́ gr̥ṇīhi kāmínaḥ,girā́ gr̥ṇīhi kāmínaḥ,SL SLS LSL,,A,,407,The Maruts,Hymns of Syavasva to the Maruts,SL SLS LSL,False,-1,8,"['gi', 'rā́', 'gr̥', 'ṇī', 'hi', 'kā', 'mí', 'naḥ']",,True,-1,,[],girā́ gr̥ṇīhi kāmínaḥ,gr̥ṇī,"[3, 4]",[],4,3,,,
06.035.05.b,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,6,6.035,06.035.05,b,M,gr̥ṇīṣé,6,,2.SG.PRS.IND.MED,śū́raḥ yát śakra= ví dúraḥ} gr̥ṇīṣé?_,chū́ro yác chakra ví dúro gr̥ṇīṣé,LL L LS S SL SLL,Triṣṭubh,A,,476,Indra,Hymns to Indra,"LL L LS ,S S|L SLL",False,5,11,"['cchū́', 'ro', 'yác', 'cchak', 'ra', 'ví', 'dú', 'ro', 'gr̥', 'ṇī', 'ṣé']",,True,1,,[],cchū́ro yác cchakra ví dúro gr̥ṇīṣé,gr̥ṇī,"[9, 10]",[],10,9,,L,S
06.044.04.b,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,6,6.044,06.044.04,b,M,gr̥ṇīṣé,1,intermediate,1.SG.PRS.IND.MED,gr̥ṇīṣé?_ śávasaḥ pátim,gr̥ṇīṣé śávasas pátim,SLL SSL SL,Aṇuṣṭubh,A,,485,Indra,Hymns to Indra,SLL S|SL SL,False,-1,8,"['gr̥', 'ṇī', 'ṣé', 'śá', 'va', 'sas', 'pá', 'tim']",,True,1,,[],gr̥ṇīṣé śávasas pátim,gr̥ṇī,"[1, 2]",[],2,1,,X,X
06.068.03.a,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,6,6.068,06.068.03,a,M,gr̥ṇīhi,2,intermediate,2.SG.PRS.IMP.ACT,tā́ gr̥ṇīhi= namasye\bhiḥ śūṣaíḥ,tā́ gr̥ṇīhi namasíyebhiḥ śūṣaíḥ,L SLS SSSLL LL,Triṣṭubh,A,,509,Indra and Varuna,Hymns to Various Gods,"L SLS ,SSS|LL LL",False,4,11,"['tā́', 'gr̥', 'ṇī', 'hi', 'na', 'ma', 'sí', 'ye', 'bhiḥ', 'śū', 'ṣaíḥ']",,True,0,scansion_cadence=LLLX,[9],tā́ gr̥ṇīhi namasíyebhiḥ śūṣaíḥ,gr̥ṇī,"[2, 3]",[],3,2,,X,X
07.006.04.c,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,7,7.006,07.006.04,c,M,gr̥ṇīṣe,5,,1.SG.PRS.IND.MED,tám ī́śānam= vásvaḥ agním} gr̥ṇīṣe-_,tám ī́śānaṁ vásvo agníṁ gr̥ṇīṣe,S LLL LL LL SLL,Triṣṭubh,S,,522,Agni Vaisvanara,Hymns to Agni,"S_LLL ,LL L|L SLL",False,4,11,"['tá', 'm ī́', 'śā', 'naṁ', 'vás', 'vo', 'ag', 'níṁ', 'gr̥', 'ṇī', 'ṣe']",,True,0,scansion_post_caesura=LL,[6],tám ī́śānaṁ vásvo agníṁ gr̥ṇīṣe,gr̥ṇī,"[9, 10]",[],10,9,,L,S
07.034.16.a,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,7,7.034,07.034.16,a,M5,gr̥ṇīṣe,4,,1.SG.PRS.IND.MED,abjā́m ukthaíḥ áhim gr̥ṇīṣe-_,abjáam ukthaír áhiṁ gr̥ṇīṣe,LSS LL SL SLL,,S,,550,All the Gods,Hymns to All the Gods,LSS_LL_SL SLL,False,-1,10,"['ab', 'já', 'a', 'm uk', 'thaí', 'r á', 'hiṁ', 'gr̥', 'ṇī', 'ṣe']",,True,-1,,[],abjáam ukthaír áhiṁ gr̥ṇīṣe,gr̥ṇī,"[8, 9]",[],9,8,,,
07.066.07.b,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,7,7.066,07.066.07,b,MO,gr̥ṇīṣe,2,verse final,1.SG.PRS.IND.MED,mitrám gr̥ṇīṣe-_ váruṇam,mitráṁ gr̥ṇīṣe váruṇam,LL SLL SSL,Gāyatrī,S,,582,"Mitra-Varuna, the Adityas and Surya",Hymns to Mitra and Varuna,LL SL|L SSL,False,-1,8,"['mit', 'ráṁ', 'gr̥', 'ṇī', 'ṣe', 'vá', 'ru', 'ṇam']",,True,0,scansion_cadence=LSSX,"[5, 6]",mitráṁ gr̥ṇīṣe váruṇam,gr̥ṇī,"[3, 4]",[],4,3,,X,X
07.097.03.b,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,7,7.097,07.097.03,b,M,gr̥ṇīṣe,4,,1.SG.PRS.IND.MED,suśévam bráhmaṇaḥ pátim} gr̥ṇīṣe-_,suśévam bráhmaṇas pátiṁ gr̥ṇīṣe,SLL LSL SL SLL,Triṣṭubh,S,,613,Indra and Brihaspati,Hymns to Divine Pairs,SLL LSL S|L SLL,False,0,11,"['su', 'śé', 'vam', 'bráh', 'ma', 'ṇas', 'pá', 'tiṁ', 'gr̥', 'ṇī', 'ṣe']",,True,0,caesura_position=0,[],suśévam bráhmaṇas pátiṁ gr̥ṇīṣe,gr̥ṇī,"[9, 10]",[],10,9,,L,S
08.003.13.b,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,8,8.003,08.003.13,b,M,gr̥ṇīta,2,verse final,3.SG.PRS.INJ.MED,turáḥ gr̥ṇīta mártyaḥ,turó gr̥ṇīta mártiyaḥ,SL SLS LSL,,S,,623,Indra,"Hymns of Priyamedha's, Medyatithi Etc.",SL SLS LSL,False,-1,8,"['tu', 'ró', 'gr̥', 'ṇī', 'ta', 'már', 'ti', 'yaḥ']",,True,-1,,[],turó gr̥ṇīta mártiyaḥ,gr̥ṇī,"[3, 4]",[],4,3,,,
08.015.04.a,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,8,8.015,08.015.04,a,M,gr̥ṇīmasi,4,,1.PL.PRS.IND.ACT,tám te-_ mádam gr̥ṇīmasi,táṁ te mádaṁ gr̥ṇīmasi,L L SL SLSS,,A,,635,Indra,Various Sons of Kanva,L L SL SLSS,False,-1,8,"['táṁ', 'te', 'má', 'daṁ', 'gr̥', 'ṇī', 'ma', 'si']",,True,-1,,[],táṁ te mádaṁ gr̥ṇīmasi,gr̥ṇī,"[5, 6]",[],6,5,,,
08.065.05.a,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,8,8.065,08.065.05,a,MO,gr̥ṇīṣé,2,intermediate,1.SG.PRS.IND.MED,índra gr̥ṇīṣé?_ u+_ stuṣé-_,índra gr̥ṇīṣá u stuṣé,LS SLS L SL,Gāyatrī,A,,674,Indra,Hymns of Pragatha and Other Kanva-Sons,LS SL|S _LSL,False,-1,8,"['ín', 'dra', 'gr̥', 'ṇī', 'ṣá', 'u s', 'tu', 'ṣé']",,True,1,,[],índra gr̥ṇīṣá u stuṣé,gr̥ṇī,"[3, 4]",[],4,3,,X,X
08.071.15.a,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,8,8.071,08.071.15,a,M,gr̥ṇīmasi,5,,1.PL.PRS.IND.ACT,agním dvéṣaḥ= yótavaí naḥ} gr̥ṇīmasi,agníṁ dvéṣo yótavaí no gr̥ṇīmasi,LL LL LSL L SLSS,,A,,680,Agni,Hymns of Priyamedha and Others,LL LL LSL L SLSS,False,-1,12,"['ag', 'níṁ', 'dvé', 'ṣo', 'yó', 'ta', 'vaí', 'no', 'gr̥', 'ṇī', 'ma', 'si']",,True,-1,,[],agníṁ dvéṣo yótavaí no gr̥ṇīmasi,gr̥ṇī,"[9, 10]",[],10,9,,,
08.102.12.b,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,8,8.102,08.102.12,b,MOR,gr̥ṇīhí,1,intermediate,2.SG.PRS.IMP.ACT,gr̥ṇīhí vipra śuṣmíṇam,gr̥ṇīhí vipra śuṣmíṇam,SLS LS LSL,Gāyatrī,A,,711,Agni,Tirasci and Other Poets,SLS L|S LSL,False,-1,8,"['gr̥', 'ṇī', 'hí', 'vip', 'ra', 'śuṣ', 'mí', 'ṇam']",,True,1,,[],gr̥ṇīhí vipra śuṣmíṇam,gr̥ṇī,"[1, 2]",[],2,1,,X,X
09.084.01.d,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,9,9.084,09.084.01,d,M,gr̥ṇīhi,2,intermediate,2.SG.PRS.IMP.ACT,urukṣitaú= gr̥ṇīhi daívyam jánam,urukṣitaú gr̥ṇīhi daíviyaṁ jánam,SLSL SLS LSL SL,Jagatī,N,,796,Soma,The Jagati Group,"SLSL ,SLS |LSL SL",False,4,12,"['u', 'ruk', 'ṣi', 'taú', 'gr̥', 'ṇī', 'hi', 'daí', 'vi', 'yaṁ', 'já', 'nam']",,True,0,scansion_post_caesura=SL,[6],urukṣitaú gr̥ṇīhi daíviyaṁ jánam,gr̥ṇī,"[5, 6]",[6],6,5,stem_vowel,S,X
10.015.06.b,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,10,10.015,10.015.06,b,P,gr̥ṇīta,4,verse final,2.PL.PRS.IMP.ACT,imám yajñám= abhí gr̥ṇīta víśve?_,imáṁ yajñám abhí gr̥ṇīta víśve,SL LS SS SLS LL,Triṣṭubh,P,['Arnold (C1)'],841,The Ancestors,Yama Hymns,"SL LS,_SS S|LS LL",False,4,11,"['i', 'máṁ', 'yaj', 'ñá', 'm a', 'bhí', 'gr̥', 'ṇī', 'ta', 'víś', 've']",caesura_position_inside_syllable=True,True,1,,[],imáṁ yajñám abhí gr̥ṇīta víśve,gr̥ṇī,"[7, 8]",[],8,7,,L,X
10.023.05.c,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,10,10.023,10.023.05,c,M,gr̥ṇīmasi,5,,1.PL.PRS.IND.ACT,tát-tat ít asya= paúṁsyam} gr̥ṇīmasi,tát-tad íd asya paúṁsiyaṁ gr̥ṇīmasi,LS S LS LSL SLSS,,A,,849,Indra,Hymns of Vimada,LS_S_LS LSL SLSS,True,-1,12,"['tát', 'ta', 'd í', 'd as', 'ya', 'paúṁ', 'si', 'yaṁ', 'gr̥', 'ṇī', 'ma', 'si']",,True,-1,,[],táttad íd asya paúṁsiyaṁ gr̥ṇīmasi,gr̥ṇī,"[9, 10]",[],10,9,,,
10.047.08.c,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,10,10.047,10.047.08,c,M,gr̥ṇītām,4,,3.DU.PRS.IMP.ACT,abhí tát dyā́vā=pr̥thivī́+_} gr̥ṇītām,abhí tád dyā́vāpr̥thivī́ gr̥ṇītām,SS L LLSSL SLL,Triṣṭubh,C,,873,Indra,The Vatsapri Hymns,SS L LLSS|L SLL,False,0,11,"['a', 'bhí', 'tád', 'dyā́', 'vā', 'pr̥', 'thi', 'vī́', 'gr̥', 'ṇī', 'tām']",,True,0,caesura_position=0,[],abhí tád dyā́vāpr̥thivī́ gr̥ṇītām,gr̥ṇī,"[9, 10]",[],10,9,,L,S
10.084.05.c,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,10,10.084,10.084.05,c,P,gr̥ṇīmasi,5,,1.PL.PRS.IND.ACT,priyám te-_ nā́ma= sahure?_} gr̥ṇīmasi,priyáṁ te nā́ma sahure gr̥ṇīmasi,SL L LS SSL SLSS,,P,['Arnold (C1)'],910,Manyu,Hymns of Manyu,SL L LS SSL SLSS,False,-1,12,"['pri', 'yáṁ', 'te', 'nā́', 'ma', 'sa', 'hu', 're', 'gr̥', 'ṇī', 'ma', 'si']",,True,-1,,[],priyáṁ te nā́ma sahure gr̥ṇīmasi,gr̥ṇī,"[9, 10]",[],10,9,,,
10.092.14.b,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,10,10.092,10.092.14,b,M,gr̥ṇīmasi,4,,1.PL.PRS.IND.ACT,gīrbhíḥ u+_= sváyaśasam gr̥ṇīmasi,gīrbhír u ̀ sváyaśasaṁ gr̥ṇīmasi,LS S · SSSL SLSS,Jagatī,N,,918,All the Gods,Hymns of Manyu,"LS_S · ,SSS|L SLSS",False,4,12,"['gīr', 'bhí', 'r u', ' ̀', 'svá', 'ya', 'śa', 'saṁ', 'gr̥', 'ṇī', 'ma', 'si']",,True,1,,[],gīrbhír u ̀ sváyaśasaṁ gr̥ṇīmasi,gr̥ṇī,"[9, 10]",[],10,9,,L,S
10.122.01.a,gr̥ṇī,weak,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,10,10.122,10.122.01,a,M,gr̥ṇīṣe,4,,1.SG.PRS.IND.MED,vásum ná citrámahasam} gr̥ṇīṣe-_,vásuṁ ná citrámahasaṁ gr̥ṇīṣe,SL S LSSSL SLL,,C,,948,Agni,Hymns of Manyu,SL S LSSSL SLL,False,-1,11,"['vá', 'suṁ', 'ná', 'cit', 'rá', 'ma', 'ha', 'saṁ', 'gr̥', 'ṇī', 'ṣe']",,True,-1,,[],vásuṁ ná citrámahasaṁ gr̥ṇīṣe,gr̥ṇī,"[9, 10]",[],10,9,,,
01.048.04.d,gr̥ṇā,strong,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,1,1.048,01.048.04,d,M,gr̥ṇāti,2,verse final,3.SG.PRS.IND.ACT,nā́ma gr̥ṇāti nr̥ṇā́m,nā́ma gr̥ṇāti nr̥r̥ṇáam+,LS SLS SSSL,,S,,48,Usas,Hymns of Praskanva,LS SLS LSL,True,-1,8,"['nā́', 'ma', 'gr̥', 'ṇā', 'ti', 'nr̥̄', 'ṇá', 'am']",,False,-1,,[],nā́ma gr̥ṇāti nr̥̄ṇáam,gr̥ṇā,"[3, 4]",[],4,3,,,
01.054.07.c,gr̥ṇā,strong,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,1,1.054,01.054.07,c,M,abhigr̥ṇā́ti,4,verse final,3.SG.PRS.IND.ACT,ukthā́ vā yáḥ= abhigr̥ṇā́ti rā́dhasā,ukthā́ vā yó abhigr̥ṇā́ti rā́dhasā,LL L L SSSLS LSL,Jagatī,C,,54,Indra,Hymns of Savya,"LL L L ,SSS|LS LSL",False,4,12,"['uk', 'thā́', 'vā', 'yó', 'a', 'bhi', 'gr̥', 'ṇā́', 'ti', 'rā́', 'dha', 'sā']",,True,1,,[],ukthā́ vā yó abhigr̥ṇā́ti rā́dhasā,gr̥ṇā,"[7, 8]",[],8,7,,L,X
01.147.02.c,gr̥ṇā,strong,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,1,1.147,01.147.02,c,M,gr̥ṇāti,5,,3.SG.PRS.IND.ACT,pī́yati tvaḥ= ánu tvaḥ} gr̥ṇāti,pī́yati tvo ánu tuvo gr̥ṇāti,LSL L SS SL SLS,Triṣṭubh,a,,147,Agni,"Hymns of Dirghatamas, Son of Ucathya and Mamata","LS_LL ,SS S|L SLS",False,4,11,"['pī́', 'ya', 'ti t', 'vo', 'á', 'nu', 'tu', 'vo', 'gr̥', 'ṇā', 'ti']",,True,1,,[],pī́yati tvo ánu tuvo gr̥ṇāti,gr̥ṇā,"[9, 10]",[],10,9,,L,S
05.027.03.d,gr̥ṇā,strong,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,5,5.027,05.027.03,d,M,gr̥ṇā́ti,4,,3.SG.PRS.IND.ACT,yukténa abhí= trya\ruṇaḥ} gr̥ṇā́ti,yukténābhí tríaruṇo gr̥ṇā́ti,LLLL SSSL SLS,Triṣṭubh,N,"['Grassmann (G)', 'Oldenberg (o)', 'Wuest (W)', 'Witzel (Z)']",381,Agni,Hymns to Agni,LLL_LSSS|L SLS,False,0,11,"['yuk', 'té', 'nā', 'bhí t', 'rí', 'a', 'ru', 'ṇo', 'gr̥', 'ṇā́', 'ti']",,True,0,caesura_position=0,[],yukténābhí tríaruṇo gr̥ṇā́ti,gr̥ṇā,"[9, 10]",[],10,9,,L,S
05.041.19.b,gr̥ṇā,strong,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,5,5.041,05.041.19,b,M,gr̥ṇātu,5,,3.SG.PRS.IMP.ACT,smát nadī́bhiḥ= urváśī?_ vā} gr̥ṇātu,smán nadī́bhir urváśī vā gr̥ṇātu,L SLS LSL L SLS,,A,,395,All the Gods,Hymns to the All-Gods,L SLS_LSL L SLS,False,-1,11,"['smán', 'na', 'dī́', 'bhi', 'r ur', 'vá', 'śī', 'vā', 'gr̥', 'ṇā', 'tu']",,True,-1,,[],smán nadī́bhir urváśī vā gr̥ṇātu,gr̥ṇā,"[9, 10]",[],10,9,,,
07.026.05.b,gr̥ṇā,strong,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,7,7.026,07.026.05,b,M,gr̥ṇāti,4,,3.SG.PRS.IND.ACT,kr̥ṣṭīnā́m vr̥ṣabhám suté-_} gr̥ṇāti,kr̥ṣṭīnā́ṁ vr̥ṣabháṁ suté gr̥ṇāti,LLL SSL SL SLS,,S,,542,Indra,Hymns to Indra,LLL SSL SL SLS,False,-1,11,"['kr̥ṣ', 'ṭī', 'nā́ṁ', 'vr̥', 'ṣa', 'bháṁ', 'su', 'té', 'gr̥', 'ṇā', 'ti']",,True,-1,,[],kr̥ṣṭīnā́ṁ vr̥ṣabháṁ suté gr̥ṇāti,gr̥ṇā,"[9, 10]",[],10,9,,,
07.038.04.a,gr̥ṇā,strong,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,7,7.038,07.038.04,a,M,gr̥ṇā́ti,5,,3.SG.PRS.IND.ACT,abhí yám devī́?_= áditiḥ} gr̥ṇā́ti,abhí yáṁ devī́ áditir gr̥ṇā́ti,SS L LL SSL SLS,Triṣṭubh,S,,554,Savitri and Other Gods,Hymns to All the Gods,"SS L LL ,SS|L SLS",False,5,11,"['a', 'bhí', 'yáṁ', 'de', 'vī́', 'á', 'di', 'tir', 'gr̥', 'ṇā́', 'ti']",,True,1,,[],abhí yáṁ devī́ áditir gr̥ṇā́ti,gr̥ṇā,"[9, 10]",[],10,9,,L,S
07.100.05.c,gr̥ṇā,strong,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,7,7.1,07.100.05,c,M,gr̥ṇāmi,3,intermediate,1.SG.PRS.IND.ACT,tám tvā gr̥ṇāmi= tavásam} átavyān,táṁ tvā gr̥ṇāmi tavásam átavyān,L L SLS SSS SLL,Triṣṭubh,S,,616,Vishnu,Hymns to Vishnu,"L L SLS ,SS|S_SLL",False,5,11,"['táṁ', 'tvā', 'gr̥', 'ṇā', 'mi', 'ta', 'vá', 'sa', 'm á', 'tav', 'yān']",,True,0,scansion_cadence=SSLX,[8],táṁ tvā gr̥ṇāmi tavásam átavyān,gr̥ṇā,"[3, 4]",[],4,3,,X,X
08.015.09.b,gr̥ṇā,strong,gr̥̄ 1,1,False,,Earlier & Later,ninth,gr̥̄ 1,8,8.015,08.015.09,b,M,gr̥ṇāti,2,verse final,3.SG.PRS.IND.ACT,mitráḥ gr̥ṇāti váruṇaḥ,mitró gr̥ṇāti váruṇaḥ,LL SLS SSL,,A,,635,Indra,Various Sons of Kanva,LL SLS SSL,False,-1,8,"['mit', 'ró', 'gr̥', 'ṇā', 'ti', 'vá', 'ru', 'ṇaḥ']",,True,-1,,[],mitró gr̥ṇāti váruṇaḥ,gr̥ṇā,"[3, 4]",[],4,3,,,
