01.001.01a | agním īḷe puróhitaṁ
01.032.08c | yā́ś cid vr̥tró mahinā́ paryátiṣṭhat
01.032.08d | tā́sām áhiḥ patsutaḥśī́r babhūva

01.032.09a | *nīcā́vayā abhavad vr̥tráputrā
01.032.09b | índro asyā áva vádhar jabhāra
01.032.09c | úttarā sū́r ádharaḥ putrá āsīd
01.032.09d | dā́nuḥ śaye sahávatsā ná dhenúḥ

01.032.10a | átiṣṭhantīnām aniveśanā́nāṁ
01.032.10b | kā́ṣṭhānām mádhye níhitaṁ śárīram
01.032.10c | vr̥trásya niṇyáṁ ví caranti ā́po
01.032.10d | dīrgháṁ táma ā́śayad índraśatruḥ

01.032.11a | dāsápatnīr áhigopā atiṣṭhan
01.032.11b | níruddhā ā́paḥ paṇíneva gā́vaḥ
01.032.11c | apā́m bílam ápihitaṁ yád ā́sīd
01.032.11d | vr̥tráṁ jaghanvā́m̐ ápa tád vavāra

01.032.12a | áśviyo vā́ro abhavas tád indra
01.032.12b | sr̥ké yát tvā pratyáhan devá ékaḥ
01.032.12c | ájayo gā́ ájayaḥ śūra sómam
01.032.12d | ávāsr̥jaḥ sártave saptá síndhūn

01.032.13a | nā́smai vidyún ná tanyatúḥ siṣedha
01.032.13b | ná yā́m míham ákirad dhrādúniṁ ca
01.032.13c | índraś ca yád yuyudhā́te áhiś ca
01.032.13d | utā́parī́bhyo maghávā ví jigye

01.032.14a | áher yātā́raṁ kám apaśya indra
01.032.14b | hr̥dí yát te jaghnúṣo bhī́r ágachat
01.032.14c | náva ca yán navatíṁ ca srávantīḥ
01.032.14d | śyenó ná bhītó átaro rájāṁsi

01.032.15a | índro yātó ávasitasya rā́jā
01.032.15b | śámasya ca śr̥ṅgíṇo vájrabāhuḥ
01.032.15c | séd u rā́jā kṣayati carṣaṇīnā́m
01.032.15d | arā́n ná nemíḥ pári tā́ babhūva

01.033.01a | étā́yāma úpa gavyánta índram
01.033.01b | asmā́kaṁ sú prámatiṁ vāvr̥dhāti
01.033.01c | anāmr̥ṇáḥ kuvíd ā́d asyá rāyó
01.033.01d | gávāṁ kétam páram āvárjate naḥ

01.033.02a | úpéd aháṁ dhanadā́m ápratītaṁ
01.033.02b | júṣṭāṁ ná śyenó vasatím patāmi
01.033.02c | índraṁ namasyánn upamébhir arkaír
01.033.02d | yá stotŕ̥bhyo háviyo ásti yā́man

01.033.03a | ní sárvasena iṣudhī́m̐r asakta
01.033.03b | sám aryó gā́ ajati yásya váṣṭi
01.033.03c | coṣkūyámāṇa indra bhū́ri vāmám
01.033.03d | mā́ paṇír bhūr asmád ádhi pravr̥ddha

01.033.04a | vádhīr hí dásyuṁ dhanínaṁ ghanénam̐
01.033.04b | ékaś cárann upaśākébhir indra
01.033.04c | dhánor ádhi viṣuṇák té ví āyann
01.033.04d | áyajvānaḥ sanakā́ḥ prétim īyuḥ

01.033.05a | párā cic chīrṣā́ vavr̥jus tá indra
01.033.05b | áyajvāno yájvabhi spárdhamānāḥ
01.033.05c | prá yád divó hariva sthātar ugra
01.033.05d | nír avratā́m̐ adhamo ródasīyoḥ

01.033.06a | áyuyutsann anavadyásya sénām
01.033.06b | áyātayanta kṣitáyo návagvāḥ
01.033.06c | vr̥ṣāyúdho ná vádhrayo níraṣṭāḥ
01.033.06d | pravádbhir índrāc citáyanta āyan

01.033.07a | tuvám etā́n rudató jákṣataś ca
01.033.07b | áyodhayo rájasa indra pāré
01.033.07c | ávādaho divá ā́ dásyum uccā́
01.033.07d | prá sunvatá stuvatáḥ śáṁsam āvaḥ

01.033.08a | cakrāṇā́saḥ parīṇáham pr̥thivyā́
01.033.08b | híraṇyena maṇínā śúmbhamānāḥ
01.033.08c | ná hinvānā́sas titirus tá índram
01.033.08d | pári spáśo adadhāt sū́riyeṇa

01.033.09a | pári yád indara+ ródasī ubhé
01.033.09b | ábubhojīr mahinā́ viśvátaḥ sīm
01.033.09c | ámanyamānām̐ abhí mányamānair
01.033.09d | nír brahmábhir adhamo dásyum indra

01.033.10a | ná yé diváḥ pr̥thivyā́ ántam āpúr
01.033.10b | ná māyā́bhir dhanadā́m paryábhūvan
01.033.10c | yújaṁ vájraṁ vr̥ṣabháś cakra índro
01.033.10d | nír jyótiṣā támaso gā́ adukṣat

01.033.11a | ánu svadhā́m akṣarann ā́po asya
01.033.11b | ávardhata mádhya ā́ nāvíyānām
01.033.11c | sadhrīcī́nena mánasā tám índra
01.033.11d | ójiṣṭhena hánmanāhann abhí dyū́n

01.033.12a | ní āvidhyad ilībíśasya dr̥r̥ḷhā́+
01.033.12b | ví śr̥ṅgíṇam abhinac chúṣṇam índraḥ
01.033.12c | yā́vat táro maghavan yā́vad ójo
01.033.12d | vájreṇa śátrum avadhīḥ pr̥tanyúm

01.033.13a | abhí sidhmó ajigād asya śátrūn
01.033.13b | ví tigména vr̥ṣabhéṇā púro 'bhet
01.033.13c | sáṁ vájreṇa asr̥jad vr̥trám índraḥ
01.033.13d | prá svā́m matím atirac chā́śadānaḥ

01.033.14a | ā́vaḥ kútsam indara+ yásmi@ cākán
01.033.14b | prā́vo yúdhyantaṁ vr̥ṣabháṁ dáśadyum
01.033.14c | śaphácyuto reeṇúr nakṣata dyā́m
01.033.14d | úc chvaitreyó nr̥ṣā́hiyāya tasthau

01.033.15a | ā́vaḥ śámaṁ vr̥ṣabháṁ túgriyāsu
01.033.15b | kṣetrajeṣé maghavañ chvítriyaṁ gā́m
01.033.15c | jiyók cid átra tasthivā́ṁso akrañ
01.033.15d | chatrūyatā́m ádharā védanākaḥ

01.034.01a | tríś cin no adyā́ bhavataṁ navedasā
01.034.01b | vibhúr vāṁ yā́ma utá rātír aśvinā
01.034.01c | yuvór hí yantráṁ himiyéva vā́saso
01.034.01d | abhyāyaṁsényā bhavatam manīṣíbhiḥ

01.034.02a | tráyaḥ paváyo madhuvā́hane ráthe
01.034.02b | sómasya venā́m ánu víśva íd viduḥ
01.034.02c | tráya skambhā́sa skabhitā́sa ārábhe
01.034.02d | trír náktaṁ yāthás trír u aśvinā dívā

01.034.03a | samāné áhan trír avadyagohanā
01.034.03b | trír adyá yajñám mádhunā mimikṣatam
01.034.03c | trír vā́javatīr íṣo aśvinā yuváṁ
01.034.03d | doṣā́ asmábhyam uṣásaś ca pinvatam

01.034.04a | trír vartír yātaṁ trír ánuvrate jané
01.034.04b | *tríḥ suprāvíye treedhéva śikṣatam
01.034.04c | trír nāndíyaṁ vahatam aśvinā yuváṁ
01.034.04d | tríḥ pŕ̥kṣo asmé akṣáreva pinvatam

01.034.05a | trír no rayíṁ vahatam aśvinā yuváṁ
01.034.05b | trír devátātā trír utā́vataṁ dhíyaḥ
01.034.05c | tríḥ saubhagatváṁ trír utá śrávāṁsi nas
01.034.05d | triṣṭháṁ vāṁ sū́re duhitā́ ruhad rátham

01.034.06a | trír no aśvinā diviyā́ni bheṣajā́
01.034.06b | tríḥ pā́rthivāni trír u dattam adbhiyáḥ
01.034.06c | omā́naṁ śaṁyór mámakāya sūnáve
01.034.06d | tridhā́tu śárma vahataṁ śubhas patī

01.034.07a | trír no aśvinā yajatā́ divé-dive
01.034.07b | pári tridhā́tu pr̥thivī́m aśāyatam
01.034.07c | tisró nāsatyā rathiyā parāváta
01.034.07d | ātméva vā́taḥ svásarāṇi gachatam

01.034.08a | trír aśvinā síndhubhiḥ saptámātr̥bhis
01.034.08b | *tráya āhāvā́s treedhā́ havíṣ kr̥tám
01.034.08c | tisráḥ pr̥thivī́r upári pravā́ divó
01.034.08d | nā́kaṁ rakṣethe dyúbhir aktúbhir hitám

01.034.09a | kúva trī́ cakrā́ trivŕ̥to ráthasya
01.034.09b | kúva tráyo vandhúro yé sánīḷāḥ
01.034.09c | kadā́ yógo vājíno rā́sabhasya
01.034.09d | yéna yajñáṁ nāsatiyopayātháḥ

01.034.10a | ā́ nāsatyā gáchataṁ hūyáte havír
01.034.10b | mádhvaḥ pibatam madhupébhir āsábhiḥ
01.034.10c | yuvór hí pū́rvaṁ savitóṣáso rátham
01.034.10d | r̥tā́ya citráṁ ghr̥távantam íṣyati

01.034.11a | ā́ nāsatyā tribhír ekādaśaír ihá
01.034.11b | devébhir yātam madhupéyam aśvinā
01.034.11c | prā́yus tā́riṣṭaṁ nī́ rápāṁsi mr̥kṣataṁ
01.034.11d | sédhataṁ dvéṣo bhávataṁ sacābhúvā

01.034.12a | ā́ no aśvinā trivŕ̥tā ráthena
01.034.12b | arvā́ñcaṁ rayíṁ vahataṁ suvī́ram
01.034.12c | śr̥ṇvántā vām ávase johavīmi
01.034.12d | vr̥dhé ca no bhavataṁ vā́jasātau

01.035.01a | hváyāmi agním prathamáṁ suastáye
01.035.01b | hváyāmi mitrā́váruṇāv ihā́vase
01.035.01c | hváyāmi rā́trīṁ jágato nivéśanīṁ
01.035.01d | hváyāmi deváṁ savitā́ram ūtáye

01.035.02a | ā́ kr̥ṣṇéna rájasā vártamāno
01.035.02b | niveśáyann amŕ̥tam mártiyaṁ ca
01.035.02c | hiraṇyáyena savitā́ ráthena
01.035.02d | ā́ devó yāti bhúvanāni páśyan

01.035.03a | yā́ti deváḥ pravátā yā́ti udvátā
01.035.03b | yā́ti śubhrā́bhyāṁ yajató háribhyām
01.035.03c | ā́ devó yāti savitā́ parāváto
01.035.03d | ápa víśvā duritā́ bā́dhamānaḥ

01.035.04a | abhī́vr̥taṁ kŕ̥śanair viśvárūpaṁ
01.035.04b | híraṇyaśamyaṁ yajató br̥hántam
01.035.04c | ā́sthād ráthaṁ savitā́ citrábhānuḥ
01.035.04d | kr̥ṣṇā́ rájāṁsi táviṣīṁ dádhānaḥ

01.035.05a | ví jánāñ chyāvā́ḥ śitipā́do akhyan
01.035.05b | ráthaṁ híraṇyapra~ugaṁ váhantaḥ
01.035.05c | śáśvad víśaḥ savitúr daíviyasya
01.035.05d | upásthe víśvā bhúvanāni tasthuḥ

01.035.06a | tisró dyā́vaḥ savitúr dvā́ upásthām̐
01.035.06b | ékā yamásya bhúvane virāṣā́ṭ
01.035.06c | āṇíṁ ná ráthyam amŕ̥tā́dhi tasthur
01.035.06d | ihá bravītu yá u tác cíketat

01.035.07a | ví suparṇó antárikṣāṇi akhyad
01.035.07b | gabhīrávepā ásuraḥ sunītháḥ
01.035.07c | kúvedā́nīṁ sū́riyaḥ káś ciketa
01.035.07d | katamā́ṁ dyā́ṁ raśmír asyā́ tatāna

01.035.08a | aṣṭaú ví akhyat kakúbhaḥ pr̥thivyā́s
01.035.08b | trī́ dhánuva yójanā saptá síndhūn
01.035.08c | hiraṇyākṣáḥ savitā́ devá ā́gād
01.035.08d | dádhad rátnā dāśúṣe vā́riyāṇi

01.035.09a | híraṇyapāṇiḥ savitā́ vícarṣaṇir
01.035.09b | ubhé dyā́vāpr̥thivī́ antár īyate
01.035.09c | ápā́mīvām bā́dhate véti sū́riyam
01.035.09d | abhí kr̥ṣṇéna rájasā dyā́m r̥ṇoti

01.035.10a | híraṇyahasto ásuraḥ sunītháḥ
01.035.10b | sumr̥r̥ḷīkáḥ+ suávām̐ yātu arvā́ṅ
01.035.10c | apasédhan rakṣáso yātudhā́nān
01.035.10d | ásthād deváḥ pratidoṣáṁ gr̥ṇānáḥ

01.035.11a | yé te pánthāḥ savitaḥ pūrviyā́so
01.035.11b | areṇávaḥ súkr̥tā antárikṣe
01.035.11c | tébhir no adyá pathíbhiḥ sugébhī
01.035.11d | rákṣā ca no ádhi ca brūhi deva

01.036.01a | prá vo yahvám purūṇáaṁ
01.036.01b | viśā́ṁ devayatī́naam
01.036.01c | agníṁ suuktébhir vácobhir īmahe
01.036.01d | yáṁ sīm íd anyá ī́ḷate

01.036.02a | jánāso agníṁ dadhire sahovŕ̥dhaṁ
01.036.02b | havíṣmanto vidhema te
01.036.02c | sá tváṁ no adyá sumánā ihā́vitā́
01.036.02d | bhávā vā́jeṣu santiya

01.036.03a | prá tvā dūtáṁ vr̥ṇīmahe
01.036.03b | hótāraṁ viśvávedasam
01.036.03c | mahás te sató ví caranti arcáyo
01.036.03d | diví spr̥śanti bhānávaḥ

01.036.04a | devā́sas tvā váruṇo mitró aryamā́
01.036.04b | sáṁ dūtám pratnám indhate
01.036.04c | víśvaṁ só agne jayati tváyā dhánaṁ
01.036.04d | yás te dadā́śa mártiyaḥ

01.036.05a | mandró hótā gr̥hápatir
01.036.05b | ágne dūtó viśā́m asi
01.036.05c | tuvé víśvā sáṁgatāni vratā́ dhruvā́
01.036.05d | yā́ni devā́ ákr̥ṇvata

01.036.06a | tuvé íd agne subháge yaviṣṭhiya
01.036.06b | víśvam ā́ hūyate havíḥ
01.036.06c | sá tváṁ no adyá sumánā utā́paráṁ
01.036.06d | yákṣi devā́n suvī́riyā

01.036.07a | táṁ ghem itthā́ namasvína
01.036.07b | úpa svarā́jam āsate
01.036.07c | hótrābhir agním mánuṣaḥ sám indhate
01.036.07d | titirvā́ṁso áti srídhaḥ

01.036.08a | ghnánto vr̥trám ataran ródasī apá
01.036.08b | urú kṣáyāya cakrire
01.036.08c | bhúvat káṇve vŕ̥ṣā diyumnī́ ā́hutaḥ
01.036.08d | krándad áśvo gáviṣṭiṣu

01.036.09a | sáṁ sīdasva mahā́m̐ asi
01.036.09b | śócasva devavī́tamaḥ
01.036.09c | ví dhūmám agne aruṣám miyedhiya
01.036.09d | sr̥já praśasta darśatám

01.036.10a | yáṁ tvā devā́so mánave dadhúr ihá
01.036.10b | yájiṣṭhaṁ havyavāhana
01.036.10c | yáṁ káṇvo médhiyātithir dhanaspŕ̥taṁ
01.036.10d | yáṁ vŕ̥ṣā yám upastutáḥ

01.036.11a | yám agním médhiyātithiḥ
01.036.11b | káṇva īdhá r̥tā́d ádhi
01.036.11c | tásya préṣo dīdiyus tám imā́ ŕ̥cas
01.036.11d | tám agníṁ vardhayāmasi

01.036.12a | rāyás pūrdhi svadhāvó ásti hí té
01.036.12b | ágne devéṣu ā́piyam
01.036.12c | tuváṁ vā́jasya śrútiyasya rājasi
01.036.12d | sá no mr̥r̥ḷa+ mahā́m̐ asi

01.036.13a | ūrdhvá ū ṣú ṇa ūtáye
01.036.13b | tíṣṭhā devó ná savitā́
01.036.13c | ūrdhvó vā́jasya sánitā yád añjíbhir
01.036.13d | vāghádbhir vihváyāmahe

01.036.14a | ūrdhvó naḥ pāhi áṁhaso ní ketúnā
01.036.14b | víśvaṁ sám atríṇaṁ daha
01.036.14c | kr̥dhī́ na ūrdhvā́ñ caráthāya jīváse
01.036.14d | vidā́ devéṣu no dúvaḥ

01.036.15a | pāhí no agne rakṣásaḥ
01.036.15b | pāhí dhūrtér árāvaṇaḥ
01.036.15c | pāhí rī́ṣata utá vā jíghāṁsato
01.036.15d | bŕ̥hadbhāno yáviṣṭhiya

01.036.16a | ghanéva víṣvag ví jahi árāvaṇas
01.036.16b | tápurjambha yó asmadhrúk
01.036.16c | yó mártiyaḥ śíśīte áti aktúbhir
01.036.16d | mā́ naḥ sá ripúr īśata

01.036.17a | agnír vavne suvī́riyam
01.036.17b | agníḥ káṇvāya saúbhagam
01.036.17c | agníḥ prā́van mitrótá médhiyātithim
01.036.17d | agníḥ sātā́ upastutám

01.036.18a | agnínā turváśaṁ yádum parāváta
01.036.18b | ugrā́devaṁ havāmahe
01.036.18c | agnír nayan návavāstvam br̥hádrathaṁ
01.036.18d | turvī́tiṁ dásyave sáhaḥ

01.036.19a | ní tvā́m agne mánur dadhe
01.036.19b | jyótir jánāya śáśvate
01.036.19c | dīdétha káṇva r̥tájāta ukṣitó
01.036.19d | yáṁ namasyánti kr̥ṣṭáyaḥ

01.036.20a | tveṣā́so agnér ámavanto arcáyo
01.036.20b | bhīmā́so ná prátītaye
01.036.20c | rakṣasvínaḥ sádam íd yātumā́vato
01.036.20d | víśvaṁ sám atríṇaṁ daha

01.037.01a | krīḷáṁ vaḥ śárdho mā́rutam
01.037.01b | anarvā́ṇaṁ ratheśúbham
01.037.01c | káṇvā abhí prá gāyata

01.037.02a | yé pŕ̥ṣatībhir r̥ṣṭíbhiḥ
01.037.02b | sākáṁ vā́śībhir añjíbhiḥ
01.037.02c | ájāyanta svábhānavaḥ

01.037.03a | ihéva śr̥ṇva eṣaaṁ
01.037.03b | káśā hásteṣu yád vádān
01.037.03c | ní yā́mañ citrám r̥ñjate

01.037.04a | prá vaḥ śárdhāya ghŕ̥ṣvaye
01.037.04b | tveṣádyumnāya śuṣmíṇe
01.037.04c | deváttam bráhma gāyata

01.037.05a | prá śaṁsā góṣu ághniyaṁ
01.037.05b | krīḷáṁ yác chárdho mā́rutam
01.037.05c | jámbhe rásasya vāvr̥dhe

01.037.06a | kó vo várṣiṣṭha ā́ naro
01.037.06b | diváś ca gmáś ca dhūtayaḥ
01.037.06c | yát sīm ántaṁ ná dhūnuthá

01.037.07a | ní vo yā́māya mā́nuṣo
01.037.07b | dadhrá ugrā́ya manyáve
01.037.07c | jíhīta párvato giríḥ

01.037.08a | yéṣām ájmeṣu pr̥thivī́
01.037.08b | jujurvā́m̐ iva viśpátiḥ
01.037.08c | bhiyā́ yā́meṣu réjate

01.037.09a | sthiráṁ hí jā́nam eṣaaṁ
01.037.09b | váyo mātúr níretave
01.037.09c | yát sīm ánu dvitā́ śávaḥ

01.037.10a | úd u tyé sūnávo gíraḥ
01.037.10b | kā́ṣṭhā ájmeṣu atnata
01.037.10c | vāśrā́ abhijñú yā́tave

01.037.11a | tiyáṁ cid ghā dīrghám pr̥thúm
01.037.11b | mihó nápātam ámr̥dhram
01.037.11c | prá cyāvayanti yā́mabhiḥ

01.037.12a | máruto yád dha vo bálaṁ
01.037.12b | jánām̐ acucyavītana
01.037.12c | girī́m̐r acucyavītana

01.037.13a | yád dha yáanti marútaḥ
01.037.13b | sáṁ ha bruvate ádhvan ā́
01.037.13c | śr̥ṇóti káś cid eṣaam

01.037.14a | prá yāta śī́bham āśúbhiḥ
01.037.14b | sánti káṇveṣu vo dúvaḥ
01.037.14c | tátro ṣú mādayādhuvai

01.037.15a | ásti hí ṣmā mádāya vaḥ
01.037.15b | smási ṣmā vayám eṣaam
01.037.15c | víśvaṁ cid ā́yu@ jīváse

01.038.01a | kád dha nūnáṁ kadhapriyaḥ
01.038.01b | pitā́ putráṁ ná hástayoḥ
01.038.01c | dadhidhvé vr̥ktabarhiṣaḥ

01.038.02a | kúva nūnáṁ kád vo árthaṁ
01.038.02b | gántā divó ná pr̥thivyā́ḥ
01.038.02c | kva\ vo gā́vo ná raṇyanti

01.038.03a | kúva vaḥ sumnā́ návyāṁsi
01.038.03b | márutaḥ kúva suvitā́
01.038.03c | kúvo víśvāni saúbhagā

01.038.04a | yád yūyám pr̥śnimātaro
01.038.04b | mártiāsaḥ@ siyā́tana
01.038.04c | stotā́ vo amŕ̥taḥ siyāt

01.038.05a | mā́ vo mr̥gó ná yávase
01.038.05b | jaritā́ bhūd ájoṣiyaḥ
01.038.05c | pathā́ yamásya gād úpa

01.038.06a | mā́ ū@ ṣú ṇaḥ párā-parā
01.038.06b | nírr̥tir durháṇā vadhīt
01.038.06c | padīṣṭá tŕ̥ṣṇayā sahá

01.038.07a | satyáṁ tveṣā́ ámavanto
01.038.07b | dhánvañ cid ā́ rudríyāsaḥ
01.038.07c | míhaṁ kr̥ṇvanti avātā́m

01.038.08a | vāśréva vidyún mimāti
01.038.08b | vatsáṁ ná mātā́ siṣakti
01.038.08c | yád eṣāṁ vr̥ṣṭír ásarji

01.038.09a | dívā cit támaḥ kr̥ṇvanti
01.038.09b | parjányenodavāhéna
01.038.09c | yát pr̥thivī́ṁ viundánti

01.038.10a | ádha svanā́n marútaaṁ
01.038.10b | víśvam ā́ sádma pā́rthivam
01.038.10c | árejanta prá mā́nuṣāḥ

01.038.11a | máruto vīḷupāṇíbhiś
01.038.11b | citrā́ ródhasvatīr ánu
01.038.11c | yātém ákhidrayāmabhiḥ

01.038.12a | sthirā́ vaḥ santu nemáyo
01.038.12b | ráthā áśvāsa eṣaam
01.038.12c | súsaṁskr̥tā abhī́śavaḥ

01.038.13a | áchā vadā tánā girā́
01.038.13b | jarā́yai bráhmaṇas pátim
01.038.13c | agním mitráṁ ná darśatám

01.038.14a | mimīhí ślókam āsíye
01.038.14b | parjánya iva tatanaḥ
01.038.14c | gā́ya gāyatrám ukthíyam

01.038.15a | vándasva mā́rutaṁ gaṇáṁ
01.038.15b | tveṣám panasyúm arkíṇam
01.038.15c | asmé vr̥ddhā́ asann ihá

01.039.01a | prá yád itthā́ parāvátaḥ
01.039.01b | śocír ná mā́nam ásyatha
01.039.01c | kásya krátvā marutaḥ kásya várpasā
01.039.01d | káṁ yātha káṁ ha dhūtayaḥ

01.039.02a | sthirā́ vaḥ santu ā́yudhā parāṇúde
01.039.02b | vīḷū́ utá pratiṣkábhe
01.039.02c | yuṣmā́kam astu táviṣī pánīyasī
01.039.02d | mā́ mártiyasya māyínaḥ

01.039.03a | párā ha yát sthiráṁ hathá
01.039.03b | náro vartáyathā gurú
01.039.03c | ví yaathana vanínaḥ pr̥thiviyā́
01.039.03d | ví ā́śāḥ párvatānaam

01.039.04a | nahí vaḥ śátrur vividé ádhi dyávi
01.039.04b | ná bhū́miyāṁ riśādasaḥ
01.039.04c | yuṣmā́kam astu táviṣī tánā yujā́
01.039.04d | rúdrāso nū́ cid ādhŕ̥ṣe

01.039.05a | prá vepayanti párvatān
01.039.05b | ví viñcanti vánaspátīn
01.039.05c | pró ārata maruto durmádā iva
01.039.05d | dévāsaḥ sárvayā viśā́

01.039.06a | úpo rátheṣu pŕ̥ṣatīr ayugdhuvam
01.039.06b | práṣṭir vahati róhitaḥ
01.039.06c | ā́ vo yā́māya pr̥thivī́ cid aśrod
01.039.06d | ábībhayanta mā́nuṣāḥ

01.039.07a | ā́ vo makṣū́ tánāya káṁ
01.039.07b | rúdrā ávo vr̥ṇīmahe
01.039.07c | gántā nūnáṁ no ávasā yáthā purā́
01.039.07d | itthā́ káṇvāya bibhyúṣe

01.039.08a | yuṣméṣito maruto mártiyeṣita
01.039.08b | ā́ yó no ábhva ī́ṣate
01.039.08c | ví táṁ yuyota śávasā ví ójasā
01.039.08d | ví yuṣmā́kābhir ūtíbhiḥ

01.039.09a | ásāmi hí prayajyavaḥ
01.039.09b | káṇvaṁ dadá pracetasaḥ
01.039.09c | ásāmibhir maruta ā́ na ūtíbhir
01.039.09d | gántā vr̥ṣṭíṁ ná vidyútaḥ

01.039.10a | ásāmi ójo bibhr̥thā sudānavo
01.039.10b | ásāmi dhūtayaḥ śávaḥ
01.039.10c | r̥ṣidvíṣe marutaḥ parimanyáva
01.039.10d | íṣuṁ ná sr̥jata dvíṣam

01.040.01a | út tiṣṭha brahmaṇas pate
01.040.01b | devayántas tuvemahe
01.040.01c | úpa prá yantu marútaḥ sudā́nava
01.040.01d | índra prāśū́r bhavā sácā

01.040.02a | tuvā́m íd dhí sahasas putra mártiya
01.040.02b | upabrūté dháne hité
01.040.02c | suvī́riyam maruta ā́ suáśviyaṁ
01.040.02d | dádhīta yó va ācaké

01.040.03a | prá etu bráhmaṇas pátiḥ
01.040.03b | prá devī́ etu sūnŕ̥tā
01.040.03c | áchā vīráṁ náriyam paṅktírādhasaṁ
01.040.03d | devā́ yajñáṁ nayantu naḥ

01.040.04a | yó vāgháte dádāti sūnáraṁ vásu
01.040.04b | sá dhatte ákṣiti śrávaḥ
01.040.04c | tásmā íḷāṁ suvī́rām ā́ yajāmahe
01.040.04d | suprátūrtim anehásam

01.040.05a | prá nūnám bráhmaṇas pátir
01.040.05b | mántraṁ vadati ukthíyam
01.040.05c | yásminn índro váruṇo mitró aryamā́
01.040.05d | devā́ ókāṁsi cakriré

01.040.06a | tám íd vocemā vidátheṣu śambhúvam
01.040.06b | mántraṁ devā anehásam
01.040.06c | imā́ṁ ca vā́cam pratiháryathā naro
01.040.06d | víśvéd vāmā́ vo aśnavat

01.040.07a | kó devayántam aśnavaj
01.040.07b | jánaṁ kó vr̥ktábarhiṣam
01.040.07c | prá-pra dāśuvā́n pastíyābhir asthita
01.040.07d | antarvā́vat kṣáyaṁ dadhe

01.040.08a | úpa kṣatrám pr̥ñcītá hánti rā́jabhir
01.040.08b | bhayé cit sukṣitíṁ dadhe
01.040.08c | nā́sya vartā́ ná tarutā́ mahādhané
01.040.08d | ná árbhe asti vajríṇaḥ

01.041.01a | yáṁ rákṣanti prácetaso
01.041.01b | váruṇo mitró aryamā́
01.041.01c | nū́ cit sá dabhyate jánaḥ

01.041.02a | yám bāhúteva píprati
01.041.02b | páanti mártiyaṁ riṣáḥ
01.041.02c | áriṣṭaḥ sárva edhate

01.041.03a | ví durgā́ ví dvíṣaḥ puró
01.041.03b | ghnánti rā́jāna eṣaam
01.041.03c | náyanti duritā́ tiráḥ

01.041.04a | sugáḥ pánthā anr̥kṣará
01.041.04b | ā́dityāsa r̥táṁ yaté
01.041.04c | nā́trāvakhādó asti vaḥ

01.041.05a | yáṁ yajñáṁ náyathā nara
01.041.05b | ā́dityā r̥júnā pathā́
01.041.05c | prá vaḥ sá dhītáye naśat

01.041.06a | sá rátnam mártiyo vásu
01.041.06b | víśvaṁ tokám utá tmánā
01.041.06c | áchā gachati ástr̥taḥ

01.041.07a | kathā́ rādhāma sakhāya
01.041.07b | stómam mitrásya aryamṇáḥ
01.041.07c | máhi psáro váruṇasya

01.041.08a | mā́ vo ghnántam mā́ śápantam
01.041.08b | práti voce devayántam
01.041.08c | sumnaír íd va ā́ vivāse

01.041.09a | catúraś cid dádamānād
01.041.09b | bibhīyā́d ā́ nídhātoḥ
01.041.09c | ná duruktā́ya spr̥hayet

01.042.01a | sám pūṣann ádhvanas tira
01.042.01b | ví áṁho vimuco napāt
01.042.01c | sákṣvā deva prá ṇas puráḥ

01.042.02a | yó naḥ pūṣann aghó vŕ̥ko
01.042.02b | duḥśéva ādídeśati
01.042.02c | ápa sma tám pathó jahi

01.042.03a | ápa tyám paripanthínam
01.042.03b | muṣīvā́ṇaṁ huraścítam
01.042.03c | dūrám ádhi srutér aja

01.042.04a | tuváṁ tásya dvayāvíno
01.042.04b | agháśaṁsasya kásya cit
01.042.04c | padā́bhí tiṣṭha tápuṣim

01.042.05a | ā́ tát te dasra mantumaḥ
01.042.05b | pū́ṣann ávo vr̥ṇīmahe
01.042.05c | yéna pitr̥ŕ̥n ácodayaḥ

01.042.06a | ádhā no viśvasaubhaga
01.042.06b | híraṇyavāśīmattama
01.042.06c | dhánāni suṣáṇā kr̥dhi

01.042.07a | áti naḥ saścáto naya
01.042.07b | sugā́ naḥ supáthā kr̥ṇu
01.042.07c | pū́ṣann ihá krátuṁ vidaḥ

01.042.08a | abhí sūyávasaṁ naya
01.042.08b | ná navajvāró ádhvane
01.042.08c | pū́ṣann ihá krátuṁ vidaḥ

01.042.09a | śagdhí pūrdhí prá yaṁsi ca
01.042.09b | śiśīhí prā́si udáram
01.042.09c | pū́ṣann ihá krátuṁ vidaḥ

01.042.10a | ná pūṣáṇam methāmasi
01.042.10b | sūktaír abhí gr̥ṇīmasi
01.042.10c | vásūni dasmám īmahe

01.043.01a | kád rudrā́ya prácetase
01.043.01b | mīḷhúṣṭamāya távyase
01.043.01c | vocéma śáṁtamaṁ hr̥dé

01.043.02a | yáthā no áditiḥ kárat
01.043.02b | páśve nŕ̥bhyo yáthā gáve
01.043.02c | yáthā tokā́ya rudríyam

01.043.03a | yáthā no mitró váruṇo
01.043.03b | yáthā rudráś cíketati
01.043.03c | yáthā víśve sajóṣasaḥ

01.043.04a | gāthápatim medhápatiṁ
