01.001.01a | agním īḷe-_ puróhitam
03.035.09c | tébhiḥ etám= sajóṣāḥ vāvaśānáḥ
03.035.09d | agnéḥ piba= jihváyā sómam indra

03.035.10a | índra píba= svadháyā cit} sutásya
03.035.10b | agnéḥ vā pāhi= jihváyā} yajatra
03.035.10c | adhvaryóḥ vā= práyatam śakra hástāt
03.035.10d | hótuḥ vā yajñám= havíṣaḥ} juṣasva

03.035.11a | śunám huvema= maghávānam índram
03.035.11b | asmín bháre-_= nŕ̥tamam vā́jasātau
03.035.11c | śr̥ṇvántam ugrám= ūtáye-_} samátsu
03.035.11d | ghnántam vr̥trā́ṇi= saṁjítam} dhánānām

03.036.01a | imā́m ū+_+ sú= prábhr̥tim sātáye-_ dhāḥ
03.036.01b | śáśvac-chaśvat= ūtíbhiḥ yā́damānaḥ
03.036.01c | suté-sute?_= vāvr̥dhe-_ várdhanebhiḥ
03.036.01d | yáḥ kármabhiḥ= mahádbhiḥ súśrutaḥ bhū́t

03.036.02a | índrāya sómāḥ= pradívaḥ} vídānāḥ
03.036.02b | r̥bhúḥ yébhiḥ= vŕ̥ṣaparvā} víhāyāḥ
03.036.02c | prayamyámānān= práti sū́-_+} gr̥bhāya
03.036.02d | índra píba= vŕ̥ṣadhūtasya vŕ̥ṣṇaḥ

03.036.03a | píbā+ várdhasva= táva ghā+} sutā́saḥ
03.036.03b | índra sómāsaḥ= prathamā́ḥ} utá imé?_
03.036.03c | yáthā ápibaḥ= pūrvyā́n indra sómān
03.036.03d | evā́+ pāhi= pányaḥ adyā́+} návīyān

03.036.04a | mahā́n ámatraḥ= vr̥jáne-_} virapśī́?_
03.036.04b | ugrám śávaḥ= patyate-_ dhr̥ṣṇú ójaḥ
03.036.04c | ná áha vivyāca= pr̥thivī́?_} caná enam
03.036.04d | yát sómāsaḥ= háryaśvam} ámandan

03.036.05a | mahā́n ugráḥ= vāvr̥dhe-_ vīryā\ya
03.036.05b | samā́cakre?_= vr̥ṣabháḥ kā́vyena
03.036.05c | índraḥ bhágaḥ= vājadā́ḥ asya gā́vaḥ
03.036.05d | prá jāyante-_= dákṣiṇāḥ asya pūrvī́ḥ

03.036.06a | prá yát síndhavaḥ= prasavám} yáthā ā́yan
03.036.06b | ā́paḥ samudrám= rathyā\ iva jagmuḥ
03.036.06c | átaḥ cit índraḥ= sádasaḥ} várīyān
03.036.06d | yát īm sómaḥ= pr̥ṇáti dugdháḥ aṁśúḥ

03.036.07a | samudréṇa= síndhavaḥ yā́damānāḥ
03.036.07b | índrāya sómam= súṣutam} bhárantaḥ
03.036.07c | aṁśúm duhanti= hastínaḥ} bharítraiḥ
03.036.07d | mádhvaḥ punanti= dhā́rayā} pavítraiḥ

03.036.08a | hradā́ḥ iva= kukṣáyaḥ somadhā́nāḥ
03.036.08b | sám ī-_ vivyāca= sávanā} purū́ṇi
03.036.08c | ánnā yát índraḥ= prathamā́} ví ā́śa
03.036.08d | vr̥trám jaghanvā́n= avr̥ṇīta sómam

03.036.09a | ā́ tū́-_+ bhara= mā́kiḥ etát} pári sthāt
03.036.09b | vidmā́+ hí tvā= vásupatim} vásūnām
03.036.09c | índra yát te-_= mā́hinam dátram ásti
03.036.09d | asmábhyam tát= haryaśva} prá yandhi

03.036.10a | asmé?_ prá yandhi= maghavan} r̥jīṣin
03.036.10b | índra rāyáḥ= viśvávārasya bhū́reḥ
03.036.10c | asmé?_ śatám= śarádaḥ jīváse-_ dhāḥ
03.036.10d | asmé?_ vīrā́n= śáśvataḥ indra śiprin

03.036.11a | śunám huvema= maghávānam índram
03.036.11b | asmín bháre-_= nŕ̥tamam vā́jasātau
03.036.11c | śr̥ṇvántam ugrám= ūtáye-_} samátsu
03.036.11d | ghnántam vr̥trā́ṇi= saṁjítam} dhánānām

03.037.01a | vā́rtrahatyāya śávase-_
03.037.01b | pr̥tanāṣā́hyāya ca
03.037.01c | índra tvā ā́ vartayāmasi

03.037.02a | arvācī́nam sú te-_ mánaḥ
03.037.02b | utá cákṣuḥ śatakrato
03.037.02c | índra kr̥ṇvántu vāghátaḥ

03.037.03a | nā́māni te-_ śatakrato
03.037.03b | víśvābhiḥ gīrbhíḥ īmahe-_
03.037.03c | índra abhimātiṣā́hye?_

03.037.04a | puruṣṭutásya dhā́mabhiḥ
03.037.04b | śaténa mahayāmasi
03.037.04c | índrasya carṣaṇīdhŕ̥taḥ

03.037.05a | índram vr̥trā́ya hántave-_
03.037.05b | puruhūtám úpa bruve-_
03.037.05c | bháreṣu vā́jasātaye-_

03.037.06a | vā́jeṣu sāsahíḥ bhava
03.037.06b | tvā́m īmahe-_ śatakrato
03.037.06c | índra vr̥trā́ya hántave-_

03.037.07a | dyumnéṣu pr̥tanā́jye?_
03.037.07b | pr̥tsutū́rṣu śrávassu ca
03.037.07c | índra sā́kṣva abhímātiṣu

03.037.08a | śuṣmíntamam naḥ ūtáye-_
03.037.08b | dyumnínam pāhi jā́gr̥vim
03.037.08c | índra sómam śatakrato

03.037.09a | indriyā́ṇi śatakrato
03.037.09b | yā́ te-_ jáneṣu pañcásu
03.037.09c | índra tā́ni te-_ ā́ vr̥ṇe-_

03.037.10a | ágan indra śrávaḥ br̥hát
03.037.10b | dyumnám dadhiṣva duṣṭáram
03.037.10c | út te-_ śúṣmam tirāmasi

03.037.11a | arvāvátaḥ naḥ ā́ gahi
03.037.11b | átha u+_ śakra parāvátaḥ
03.037.11c | ulokáḥ! yáḥ te-_ adrivaḥ
03.037.11d | índra ihá tátaḥ ā́ gahi

03.038.01a | abhí táṣṭā iva= dīdhayā+} manīṣā́m
03.038.01b | átyaḥ ná+_ vājī́?_= sudhúraḥ} jíhānaḥ
03.038.01c | abhí priyā́ṇi= mármr̥śat} párāṇi
03.038.01d | kavī́n icchāmi= saṁdŕ̥śe?_} sumedhā́ḥ

03.038.02a | inā́ utá pr̥ccha= jánimā+} kavīnā́m
03.038.02b | manodhŕ̥taḥ= sukŕ̥taḥ takṣata dyā́m
03.038.02c | imā́ḥ u+_ te-_= praṇya\ḥ várdhamānāḥ
03.038.02d | mánovātāḥ= ádha nú dhármaṇi gman

03.038.03a | ní sīm ít átra= gúhyā} dádhānāḥ
03.038.03b | utá kṣatrā́ya= ródasī+_} sám añjan
03.038.03c | sám mā́trābhiḥ= mamiré?_ yemúḥ urvī́+_
03.038.03d | antár mahī́+_= sámr̥te?_ dhā́yase-_ dhuḥ

03.038.04a | ātíṣṭhantam= pári víśve?_} abhūṣan
03.038.04b | śríyaḥ vásānaḥ= carati} svárociḥ
03.038.04c | mahát tát vŕ̥ṣṇaḥ= ásurasya nā́ma
03.038.04d | ā́ viśvárūpaḥ= amŕ̥tāni tasthau

03.038.05a | ásūta pū́rvaḥ= vr̥ṣabháḥ} jyā́yān
03.038.05b | imā́ḥ asya= śurúdhaḥ santi pūrvī́ḥ
03.038.05c | dívaḥ napātā= vidáthasya dhībhíḥ
03.038.05d | kṣatrám rājānā= pradívaḥ} dadhāthe?_

03.038.06a | trī́ṇi rājānā= vidáthe?_} purū́ṇi
03.038.06b | pári víśvāni= bhūṣathaḥ} sádāṁsi
03.038.06c | ápaśyam átra= mánasā} jaganvā́n
03.038.06d | vraté-_ gandharvā́n= ápi vāyúkeśān

03.038.07a | tát ít nú asya= vr̥ṣabhásya dhenóḥ
03.038.07b | ā́ nā́mabhiḥ= mamire-_ sákmyam góḥ
03.038.07c | anyád-anyat= asurya\m} vásānāḥ
03.038.07d | ní māyínaḥ= mamire-_ rūpám asmin

03.038.08a | tát ít nú asya= savitúḥ} nákiḥ me-_
03.038.08b | hiraṇyáyīm= amátim yā́m} áśiśret
03.038.08c | ā́ suṣṭutī́-_= ródasī+_ viśvaminvé?_
03.038.08d | ápi iva yóṣā= jánimāni vavre?_

03.038.09a | yuvám pratnásya= sādhathaḥ} maháḥ yát
03.038.09b | daívī?_ svastíḥ= pári naḥ} syātam
03.038.09c | gopā́jihvasya= tasthúṣaḥ} vírūpā
03.038.09d | víśve?_ paśyanti= māyínaḥ} kr̥tā́ni

03.038.10a | śunám huvema= maghávānam índram
03.038.10b | asmín bháre-_= nŕ̥tamam vā́jasātau
03.038.10c | śr̥ṇvántam ugrám= ūtáye-_} samátsu
03.038.10d | ghnántam vr̥trā́ṇi= saṁjítam} dhánānām

03.039.01a | índram matíḥ= hr̥dáḥ ā́ vacyámānā
03.039.01b | ácchā+ pátim= stómataṣṭā} jigāti
03.039.01c | yā́ jā́gr̥viḥ= vidáthe?_ śasyámānā
03.039.01d | índra yát te-_= jā́yate-_ viddhí tásya

03.039.02a | diváḥ cit ā́= pūrvyā́ jā́yamānā
03.039.02b | ví jā́gr̥viḥ= vidáthe?_ śasyámānā
03.039.02c | bhadrā́ vástrāṇi= árjunā} vásānā
03.039.02d | sā́ iyám asmé?_= sanajā́ pítryā dhī́ḥ

03.039.03a | yamā́ cit átra= yamasū́ḥ} asūta
03.039.03b | jihvā́yāḥ ágram= pátat ā́} hí ásthāt
03.039.03c | vápūṁṣi jātā́= mithunā́} sacete?_
03.039.03d | tamohánā= tápuṣaḥ budhné-_ étā

03.039.04a | nákiḥ eṣām= ninditā́ mártyeṣu
03.039.04b | yé?_ asmā́kam= pitáraḥ góṣu yodhā́ḥ
03.039.04c | índraḥ eṣām= dr̥ṁhitā́ mā́hināvān
03.039.04d | út gotrā́ṇi= sasr̥je?_ daṁsánāvān

03.039.05a | sákhā ha yátra= sákhibhiḥ} návagvaiḥ
03.039.05b | abhijñú ā́= sátvabhiḥ gā́ḥ} anugmán
03.039.05c | satyám tát índraḥ= daśábhiḥ} dáśagvaiḥ
03.039.05d | sū́ryam viveda= támasi} kṣiyántam

03.039.06a | índraḥ mádhu= sámbhr̥tam usríyāyām
03.039.06b | padvát viveda= śaphávat} náme?_ góḥ
03.039.06c | gúhā hitám= gúhyam gūḷhám apsú
03.039.06d | háste-_ dadhe-_= dákṣiṇe?_ dákṣiṇāvān

03.039.07a | jyótiḥ vr̥ṇīta= támasaḥ} vijānán
03.039.07b | āré-_ syāma= duritā́t} abhī́ke-_
03.039.07c | imā́ḥ gíraḥ= somapāḥ somavr̥ddha
03.039.07d | juṣásva indra= purutámasya kāróḥ

03.039.08a | jyótiḥ yajñā́ya= ródasī+_} ánu syāt
03.039.08b | āré-_ syāma= duritásya bhū́reḥ
03.039.08c | bhū́ri cit hí= tujatáḥ mártyasya
03.039.08d | supārā́saḥ= vasavaḥ barháṇāvat

03.039.09a | śunám huvema= maghávānam índram
03.039.09b | asmín bháre-_= nŕ̥tamam vā́jasātau
03.039.09c | śr̥ṇvántam ugrám= ūtáye-_} samátsu
03.039.09d | ghnántam vr̥trā́ṇi= saṁjítam} dhánānām

03.040.01a | índra tvā vr̥ṣabhám vayám
03.040.01b | suté-_ sóme-_ havāmahe-_
03.040.01c | sá pāhi mádhvaḥ ándhasaḥ

03.040.02a | índra kratuvídam sutám
03.040.02b | sómam harya puruṣṭuta
03.040.02c | píba ā́ vr̥ṣasva tā́tr̥pim

03.040.03a | índra prá naḥ dhitā́vānam
03.040.03b | yajñám víśvebhiḥ devébhiḥ
03.040.03c | tirá! stavāna viśpate-_

03.040.04a | índra sómāḥ sutā́ḥ imé?_
03.040.04b | táva prá yanti satpate-_
03.040.04c | kṣáyam candrā́saḥ índavaḥ

03.040.05a | dadhiṣvā́+ jaṭháre-_ sutám
03.040.05b | sómam indra váreṇyam
03.040.05c | táva dyukṣā́saḥ índavaḥ

03.040.06a | gírvaṇaḥ pāhí naḥ sutám
03.040.06b | mádhoḥ dhā́rābhiḥ ajyase?_
03.040.06c | índra tvā́dātam ít yáśaḥ

03.040.07a | abhí dyumnā́ni vanínaḥ
03.040.07b | índram sacante-_ ákṣitā
03.040.07c | pītvī́-_ sómasya vāvr̥dhe-_

03.040.08a | arvāvátaḥ naḥ ā́ gahi
03.040.08b | parāvátaḥ ca vr̥trahan
03.040.08c | imā́ḥ juṣasva naḥ gíraḥ

03.040.09a | yát antarā́ parāvátam
03.040.09b | arvāvátam ca hūyáse?_
03.040.09c | índra ihá tátaḥ ā́ gahi

03.041.01a | ā́ tū́-_+ naḥ indra madrya\k
03.041.01b | huvānáḥ sómapītaye-_
03.041.01c | háribhyām yāhi adrivaḥ

03.041.02a | sattáḥ hótā naḥ r̥tvíyaḥ
03.041.02b | tistiré?_ barhíḥ ānuṣák
03.041.02c | áyujran prātár ádrayaḥ

03.041.03a | imā́ bráhma brahmavāhaḥ
03.041.03b | kriyánte?_ ā́ barhíḥ sīda
03.041.03c | vīhí śūra puroḷā́śam

03.041.04a | rārandhí sávaneṣu naḥ
03.041.04b | eṣú stómeṣu vr̥trahan
03.041.04c | ukthéṣu indra girvaṇaḥ

03.041.05a | matáyaḥ somapā́m urúm
03.041.05b | rihánti śávasaḥ pátim
03.041.05c | índram vatsám ná+_ mātáraḥ

03.041.06a | sá mandasvā+ hí ándhasaḥ
03.041.06b | rā́dhase-_ tanvā\ mahé-_
03.041.06c | ná stotā́ram nidé-_ karaḥ

03.041.07a | vayám indra tvāyávaḥ
03.041.07b | havíṣmantaḥ jarāmahe?_
03.041.07c | utá tvám asmayúḥ vaso

03.041.08a | mā́ āré-_ asmát ví mumucaḥ
03.041.08b | háripriya arvā́ṅ yāhi
03.041.08c | índra svadhāvaḥ mátsva ihá

03.041.09a | arvā́ñcam tvā sukhé?_ ráthe-_
03.041.09b | váhatām indra keśínā
03.041.09c | ghr̥tásnū+_ barhíḥ āsáde-_

03.042.01a | úpa naḥ sutám ā́ gahi
03.042.01b | sómam indra gávāśiram
03.042.01c | háribhyām yáḥ te-_ asmayúḥ

03.042.02a | tám indra mádam ā́ gahi
03.042.02b | barhiṣṭhā́m grā́vabhiḥ sutám
03.042.02c | kuvít nú asya tr̥pṇávaḥ

03.042.03a | índram itthā́ gíraḥ máma
03.042.03b | áccha aguḥ iṣitā́ḥ itáḥ
03.042.03c | āvŕ̥te?_ sómapītaye-_

03.042.04a | índram sómasya pītáye-_
03.042.04b | stómaiḥ ihá havāmahe-_
03.042.04c | ukthébhiḥ kuvít āgámat

03.042.05a | índra sómāḥ sutā́ḥ imé?_
03.042.05b | tā́n dadhiṣva śatakrato
03.042.05c | jaṭháre-_ vājinīvaso

03.042.06a | vidmā́+ hí tvā dhanaṁjayám
03.042.06b | vā́jeṣu dadhr̥ṣám kave-_
03.042.06c | ádhā+ te-_ sumnám īmahe-_

03.042.07a | imám indra gávāśiram
03.042.07b | yávāśiram ca naḥ piba
03.042.07c | āgátyā+ vŕ̥ṣabhiḥ sutám

03.042.08a | túbhya ít indra své-_ okye\?_
03.042.08b | sómam codāmi pītáye-_
03.042.08c | eṣá rārantu te-_ hr̥dí

03.042.09a | tvā́m sutásya pītáye-_
03.042.09b | pratnám indra havāmahe-_
03.042.09c | kuśikā́saḥ avasyávaḥ

03.043.01a | ā́ yāhi arvā́ṅ= úpa vandhureṣṭhā́ḥ
03.043.01b | táva ít ánu= pradívaḥ somapéyam
03.043.01c | priyā́ sákhāyā= ví muca úpa barhíḥ
03.043.01d | tvā́m imé?_= havyavā́haḥ} havante-_

03.043.02a | ā́ yāhi pūrvī́ḥ= áti carṣaṇī́ḥ ā́
03.043.02b | aryáḥ āśíṣaḥ= úpa naḥ} háribhyām
03.043.02c | imā́ḥ hí tvā= matáyaḥ stómataṣṭāḥ
03.043.02d | índra hávante-_= sakhyám} juṣāṇā́ḥ

03.043.03a | ā́ naḥ yajñám= namovŕ̥dham} sajóṣāḥ
03.043.03b | índra deva= háribhiḥ yāhi tū́yam
03.043.03c | ahám hí tvā= matíbhiḥ jóhavīmi
03.043.03d | ghr̥táprayāḥ= sadhamā́de-_} mádhūnām

03.043.04a | ā́ ca tvā́m etā́= vŕ̥ṣaṇā} váhātaḥ
03.043.04b | hárī+_ sákhāyā= sudhúrā} sváṅgā
03.043.04c | dhānā́vat índraḥ= sávanam} juṣāṇáḥ
03.043.04d | sákhā sákhyuḥ= śr̥ṇavat vándanāni

03.043.05a | kuvít mā gopā́m= kárase?_} jánasya
03.043.05b | kuvít rā́jānam= maghavan} r̥jīṣin
03.043.05c | kuvít mā ŕ̥ṣim= papivā́ṁsam sutásya
03.043.05d | kuvít me-_ vásvaḥ= amŕ̥tasya śíkṣāḥ

03.043.06a | ā́ tvā br̥hántaḥ= hárayaḥ} yujānā́ḥ
03.043.06b | arvā́k indra= sadhamā́daḥ} vahantu
03.043.06c | prá yé?_ dvitā́= diváḥ r̥ñjánti ā́tāḥ
03.043.06d | súsammr̥ṣṭāsaḥ= vr̥ṣabhásya mūrā́ḥ

03.043.07a | índra píba= vŕ̥ṣadhūtasya vŕ̥ṣṇaḥ
03.043.07b | ā́ yám te-_ śyenáḥ= uśaté-_} jabhā́ra
03.043.07c | yásya máde-_= cyāváyasi} prá kr̥ṣṭī́ḥ
03.043.07d | yásya máde-_= ápa gotrā́} vavártha

03.043.08a | śunám huvema= maghávānam índram
03.043.08b | asmín bháre-_= nŕ̥tamam vā́jasātau
03.043.08c | śr̥ṇvántam ugrám= ūtáye-_} samátsu
03.043.08d | ghnántam vr̥trā́ṇi= saṁjítam} dhánānām

03.044.01a | ayám te-_ astu haryatáḥ
03.044.01b | sómaḥ ā́ háribhiḥ sutáḥ
03.044.01c | juṣāṇáḥ indra= háribhiḥ} naḥ ā́ gahi
03.044.01d | ā́ tiṣṭha háritam rátham

03.044.02a | haryán uṣásam arcayaḥ
03.044.02b | sū́ryam haryán arocayaḥ
03.044.02c | vidvā́n cikitvā́n= haryaśva vardhase?_
03.044.02d | índra víśvāḥ abhí śríyaḥ

03.044.03a | dyā́m índraḥ háridhāyasam
03.044.03b | pr̥thivī́m hárivarpasam
03.044.03c | ádhārayat= harítoḥ bhū́ri bhójanam
03.044.03d | yáyoḥ antár háriḥ cárat

03.044.04a | jajñānáḥ háritaḥ vŕ̥ṣā
03.044.04b | víśvam ā́ bhāti rocanám
03.044.04c | háryaśvaḥ= háritam dhatte-_ ā́yudham
03.044.04d | ā́ vájram bāhvóḥ hárim

03.044.05a | índraḥ haryántam árjunam
03.044.05b | vájram śukraíḥ abhī́vr̥tam
03.044.05c | ápa avr̥ṇot= háribhiḥ ádribhiḥ sutám
03.044.05d | út gā́ḥ háribhiḥ ājata

03.045.01a | ā́ mandraíḥ indra háribhiḥ
03.045.01b | yāhí mayū́raromabhiḥ
03.045.01c | mā́ tvā ké-_ cit= ní yaman vím} ná+_ pāśínaḥ
03.045.01d | áti dhánva iva tā́n ihi

03.045.02a | vr̥trakhādáḥ valaṁrujáḥ
03.045.02b | purā́m darmáḥ apā́m ajáḥ
03.045.02c | sthā́tā ráthasya= háryoḥ} abhisvaré?_
03.045.02d | índraḥ dr̥ḷhā́ cit ārujáḥ

03.045.03a | gambhīrā́n udadhī́n iva
03.045.03b | krátum puṣyasi gā́ḥ iva
03.045.03c | prá sugopā́ḥ= yávasam dhenávaḥ yathā
03.045.03d | hradám kulyā́ḥ iva āśata

03.045.04a | ā́ naḥ tújam rayím bhara
03.045.04b | áṁśam ná+_ pratijānaté?_
03.045.04c | vr̥kṣám pakvám= phálam aṅkī́?_ iva dhūnuhi
03.045.04d | índra sampā́raṇam vásu

03.045.05a | svayúḥ indra svarā́ṭ asi
03.045.05b | smáddiṣṭiḥ sváyaśastaraḥ
03.045.05c | sá vāvr̥dhānáḥ= ójasā} puruṣṭuta
03.045.05d | bhávā+ naḥ suśrávastamaḥ

03.046.01a | yudhmásya te-_= vr̥ṣabhásya} svarā́jaḥ
03.046.01b | ugrásya yū́naḥ= sthávirasya ghŕ̥ṣveḥ
03.046.01c | ájūryataḥ= vajríṇaḥ vīryā\ṇi
03.046.01d | índra śrutásya= mahatáḥ} mahā́ni

03.046.02a | mahā́n asi= mahiṣa vŕ̥ṣṇyebhiḥ
03.046.02b | dhanaspŕ̥t ugra= sáhamānaḥ anyā́n
03.046.02c | ékaḥ víśvasya= bhúvanasya rā́jā
03.046.02d | sá yodháyā+ ca= kṣayáyā+} ca jánān

03.046.03a | prá mā́trābhiḥ= ririce-_ rócamānaḥ
03.046.03b | prá devébhiḥ= viśvátaḥ ápratītaḥ
03.046.03c | prá majmánā= diváḥ índraḥ} pr̥thivyā́ḥ
03.046.03d | prá uróḥ maháḥ= antárikṣāt} r̥jīṣī́-_

03.046.04a | urúm gabhīrám= janúṣā abhí ugrám
03.046.04b | viśvávyacasam= avatám} matīnā́m
03.046.04c | índram sómāsaḥ= pradívi} sutā́saḥ
03.046.04d | samudrám ná+_= sravátaḥ ā́} viśanti

03.046.05a | yám sómam indra= pr̥thivī́dyā́vā
03.046.05b | gárbham ná+_ mātā́= bibhr̥táḥ} tvāyā́
03.046.05c | tám te-_ hinvanti= tám u+_ te-_} mr̥janti
03.046.05d | adhvaryávaḥ= vr̥ṣabha pā́tavaí u+_

03.047.01a | marútvān indra= vr̥ṣabháḥ} ráṇāya
03.047.01b | píbā+ sómam= anuṣvadhám} mádāya
03.047.01c | ā́ siñcasva= jaṭháre-_ mádhvaḥ ūrmím
03.047.01d | tvám rā́jā asi= pradívaḥ} sutā́nām

03.047.02a | sajóṣāḥ indra= ságaṇaḥ} marúdbhiḥ
03.047.02b | sómam piba= vr̥trahā́ śūra vidvā́n
03.047.02c | jahí śátrūn= ápa mŕ̥dhaḥ} nudasva
03.047.02d | átha ábhayam= kr̥ṇuhi viśvátaḥ naḥ

03.047.03a | utá r̥túbhiḥ= r̥tupāḥ pāhi sómam
03.047.03b | índra devébhiḥ= sákhibhiḥ} sutám naḥ
03.047.03c | yā́n ā́ ábhajaḥ= marútaḥ yé?_} tvā ánu
03.047.03d | áhan vr̥trám= ádadhuḥ túbhyam ójaḥ

03.047.04a | yé?_ tvā ahihátye?_= maghavan} ávardhan
03.047.04b | yé?_ śāmbaré?_= harivaḥ yé?_} gáviṣṭau
03.047.04c | yé?_ tvā nūnám= anumádanti víprāḥ
03.047.04d | píba indra sómam= ságaṇaḥ} marúdbhiḥ

03.047.05a | marútvantam= vr̥ṣabhám vāvr̥dhānám
03.047.05b | ákavārim= divyám śāsám índram
03.047.05c | viśvāsā́ham= ávase-_ nū́tanāya
03.047.05d | ugrám sahodā́m= ihá tám} huvema

03.048.01a | sadyáḥ ha jātáḥ= vr̥ṣabháḥ} kanī́naḥ
03.048.01b | prábhartum āvat= ándhasaḥ} sutásya
03.048.01c | sādhóḥ piba= pratikāmám} yáthā te-_
03.048.01d | rásāśiraḥ= prathamám somyásya

03.048.02a | yát jā́yathāḥ= tát áhar asya kā́me?_
03.048.02b | aṁśóḥ pīyū́ṣam= apibaḥ} giriṣṭhā́m
03.048.02c | tám te-_ mātā́= pári yóṣā} jánitrī?_
03.048.02d | maháḥ pitúḥ= dáme-_ ā́ asiñcat ágre-_

03.048.03a | upasthā́ya= mātáram ánnam aiṭṭa
03.048.03b | tigmám apaśyat= abhí sómam ū́dhar
03.048.03c | prayāváyan= acarat gŕ̥tsaḥ anyā́n
03.048.03d | mahā́ni cakre-_= purudhápratīkaḥ

03.048.04a | ugráḥ turāṣā́ṭ= abhíbhūtyojāḥ
03.048.04b | yathāvaśám= tanva\m cakre-_ eṣáḥ
03.048.04c | tváṣṭāram índraḥ= janúṣā abhibhū́ya
03.048.04d | āmúṣyā+ sómam= apibat} camū́ṣu

03.048.05a | śunám huvema= maghávānam índram
03.048.05b | asmín bháre-_= nŕ̥tamam vā́jasātau
03.048.05c | śr̥ṇvántam ugrám= ūtáye-_} samátsu
03.048.05d | ghnántam vr̥trā́ṇi= saṁjítam} dhánānām

03.049.01a | śáṁsā+ mahā́m= índram yásmin víśvāḥ
03.049.01b | ā́ kr̥ṣṭáyaḥ= somapā́ḥ kā́mam ávyan
03.049.01c | yám sukrátum= dhiṣáṇe+_ vibhvataṣṭám
03.049.01d | ghanám vr̥trā́ṇām= janáyanta devā́ḥ

03.049.02a | yám nú nákiḥ= pŕ̥tanāsu} svarā́jam
03.049.02b | dvitā́ tárati= nŕ̥tamam} hariṣṭhā́m
03.049.02c | inátamaḥ= sátvabhiḥ yáḥ} ha śūṣaíḥ
03.049.02d | pr̥thujráyāḥ= amināt ā́yuḥ dásyoḥ

03.049.03a | sahā́vā pr̥tsú= taráṇiḥ} ná+_ árvā
03.049.03b | vyānaśíḥ= ródasī+_ mehánāvān
03.049.03c | bhágaḥ ná+_ kāré?_= hávyaḥ} matīnā́m
03.049.03d | pitā́ iva cā́ruḥ= suhávaḥ} vayodhā́ḥ

03.049.04a | dhartā́ diváḥ= rájasaḥ pr̥ṣṭáḥ ūrdhváḥ
03.049.04b | ráthaḥ ná+_ vāyúḥ= vásubhiḥ} niyútvān
03.049.04c | kṣapā́m vastā́= janitā́ sū́ryasya
03.049.04d | víbhaktā bhāgám= dhiṣáṇā iva vā́jam

03.049.05a | śunám huvema= maghávānam índram
03.049.05b | asmín bháre-_= nŕ̥tamam vā́jasātau
03.049.05c | śr̥ṇvántam ugrám= ūtáye-_} samátsu
03.049.05d | ghnántam vr̥trā́ṇi= saṁjítam} dhánānām

03.050.01a | índraḥ svā́hā= pibatu yásya sómaḥ
03.050.01b | āgátyā+ túmraḥ= vr̥ṣabháḥ} marútvān
03.050.01c | ā́ uruvyácāḥ= pr̥ṇatām ebhíḥ ánnaiḥ
03.050.01d | ā́ asya havíḥ= tanva\ḥ kā́mam r̥dhyāḥ

03.050.02a | ā́ te-_ saparyū́+_= javáse-_} yunajmi
03.050.02b | yáyoḥ ánu= pradívaḥ śruṣṭím ā́vaḥ
03.050.02c | ihá tvā dheyuḥ= hárayaḥ} suśipra
03.050.02d | píbā+ tú asyá= súṣutasya cā́roḥ

03.050.03a | góbhiḥ mimikṣúm= dadhire-_} supārám
03.050.03b | índram jyaíṣṭhyāya= dhā́yase-_} gr̥ṇānā́ḥ
03.050.03c | mandānáḥ sómam= papivā́n} r̥jīṣin
03.050.03d | sám asmábhyam= purudhā́ gā́ḥ} iṣaṇya

03.050.04a | imám kā́mam= mandayā+ góbhiḥ áśvaiḥ
03.050.04b | candrávatā= rā́dhasā papráthaḥ ca
03.050.04c | svaryávaḥ= matíbhiḥ túbhyam víprāḥ
03.050.04d | índrāya vā́haḥ= kuśikā́saḥ akran

03.050.05a | śunám huvema= maghávānam índram
03.050.05b | asmín bháre-_= nŕ̥tamam vā́jasātau
03.050.05c | śr̥ṇvántam ugrám= ūtáye-_} samátsu
03.050.05d | ghnántam vr̥trā́ṇi= saṁjítam} dhánānām

03.051.01a | carṣaṇīdhŕ̥tam= maghávānam ukthya\m
03.051.01b | índram gíraḥ= br̥hatī́ḥ abhí} anūṣata
03.051.01c | vāvr̥dhānám= puruhūtám} suvr̥ktíbhiḥ
03.051.01d | ámartyam= járamāṇam} divé-dive-_

03.051.02a | śatákratum= arṇavám śākínam náram
03.051.02b | gíraḥ me-_ índram= úpa yanti viśvátaḥ
03.051.02c | vājasánim= pūrbhídam tū́rṇim aptúram
03.051.02d | dhāmasā́cam= abhiṣā́cam} svarvídam

03.051.03a | ākaré?_ vásoḥ= jaritā́} panasyate?_
03.051.03b | anehásaḥ= stúbhaḥ índraḥ} duvasyati
03.051.03c | vivásvataḥ= sádane-_ ā́} hí pipriyé?_
03.051.03d | satrāsā́ham= abhimātihánam stuhi

03.051.04a | nr̥ṇā́m u+_ tvā= nŕ̥tamam gīrbhíḥ ukthaíḥ
03.051.04b | abhí prá vīrám= arcatā+} sabā́dhaḥ
03.051.04c | sám sáhase-_= purumāyáḥ} jihīte-_
03.051.04d | námaḥ asya= pradívaḥ ékaḥ īśe-_

